slug,company_name,title,location,remote,url,created_at,tags,job_types,salary
project-coordinator-berlin-458091,Flix,Project Coordinator (m/w/d),"Berlin, Berlin, Germany",False,https://www.arbeitnow.com/jobs/companies/flix/project-coordinator-berlin-458091,1752525912,,,
project-manager-infrastrukturentwicklung-berlin-312972,Flix,Project Manager Infrastrukturentwicklung (m/w/d),"Berlin, Berlin, Germany",False,https://www.arbeitnow.com/jobs/companies/flix/project-manager-infrastrukturentwicklung-berlin-312972,1752525912,,,
project-manager-berlin-154523,Flix,Project Manager (m/w/d),"Berlin, Berlin, Germany",False,https://www.arbeitnow.com/jobs/companies/flix/project-manager-berlin-154523,1752525912,,,
principal-engineer-train-tech-berlin-468770,Flix,Principal Engineer - Train Tech (m/f/d),"Berlin, Berlin, Germany",False,https://www.arbeitnow.com/jobs/companies/flix/principal-engineer-train-tech-berlin-468770,1752525912,,,
remote-freelance-tech-instructor-data-software-german-speaking-berlin-103966,Masterschool,Freelance Tech Instructor – Data/ Software (German Speaking)),Berlin,True,https://www.arbeitnow.com/jobs/companies/masterschool/remote-freelance-tech-instructor-data-software-german-speaking-berlin-103966,1752504132,Remote,Part time,
platform-technical-support-french-speaking-munich-301307,Apaleo,Platform Technical Support (f/m/d)- French Speaking,"Munich, Bavaria, Germany",False,https://www.arbeitnow.com/jobs/companies/apaleo/platform-technical-support-french-speaking-munich-301307,1752500713,,,
outbound-sales-representative-german-speaking-berlin-412665,SumUp,Outbound Sales Representative (German-speaking),"Berlin, Berlin, Germany",False,https://www.arbeitnow.com/jobs/companies/sumup/outbound-sales-representative-german-speaking-berlin-412665,1752500712,,,
talent-acquisition-field-sales-1-year-ftc-berlin-134927,SumUp,Talent Acquisition - Field Sales (1 year FTC),"Berlin, Berlin, Germany",False,https://www.arbeitnow.com/jobs/companies/sumup/talent-acquisition-field-sales-1-year-ftc-berlin-134927,1752500712,,,
aussendienstmitarbeiter-berlin-89241,SumUp,Außendienstmitarbeiter (m/w/d),"Berlin, Berlin, Germany",False,https://www.arbeitnow.com/jobs/companies/sumup/aussendienstmitarbeiter-berlin-89241,1752500712,,,
founders-associate-gtm-at-ai-startup-internship-working-student-berlin-51873,apistemic,Founder's Associate GTM at AI Startup (Internship / Working Student),Berlin,True,https://www.arbeitnow.com/jobs/companies/apistemic/founders-associate-gtm-at-ai-startup-internship-working-student-berlin-51873,1752500344,"Remote, Business Development","Internship, professional / experienced",
mietenbuchhalter-oranienburg-14852,GS Company GmbH & Co. KG,Mietenbuchhalter (m/w/d),Oranienburg,False,https://www.arbeitnow.com/jobs/companies/gs-company-gmbh-co-kg/mietenbuchhalter-oranienburg-14852,1752500344,Finance,,
